Designator,Manufacturer Part Number or Seeed SKU,Qty,Link
"C10,C11,C12,C13,C14,C15,C16,C9 ",TAJC107K016RNJ,8,https://statics3.seeedstudio.com
"C2,C1,C4,C3,C7 ",CC0805KKX7R8BB225,5,https://statics3.seeedstudio.com
"C5,C8 ",CC0603KRX7R9BB104,2,https://statics3.seeedstudio.com
C6 ,CC0402JRNPO9BN220,1,https://statics3.seeedstudio.com
J1 ,ZB2001-02,1,https://statics3.seeedstudio.com
"L2,L3,L1,L5,L6 ",BLM21PG331SN1D,5,https://statics3.seeedstudio.com
L4 ,LQM2MPN2R2MG0,1,https://statics3.seeedstudio.com
R1 ,RC0603FR-071K8L,1,https://statics3.seeedstudio.com
R2 ,RC0603FR-0724KL,1,https://statics3.seeedstudio.com
R4 ,RC0603FR-07150KL,1,https://statics3.seeedstudio.com
U1 ,ETA3406S2F-T,1,https://statics3.seeedstudio.com
USB1 ,10118193-0001LF,1,https://statics3.seeedstudio.com
